username,userid,profile_location,created_at,text,retweet_count,source,coordinates
DaThoid,1399472750570266624,"Seattle, WA",2023-01-06 16:56:59,@TomFitton If she were a person of color as a part of a BLM mob trying to prevent Trump's certification you'd be singing a different tune.,0,Twitter for Android,
Littleleers,1593074011210407936,"Seattle, WA",2023-01-06 14:47:10,@AnnaMargaretAp1 @dpl_3 No witness ever said A.B. Was warned.  Imagine if A.B were black and BLM?  Maybe she would be alive?,0,Twitter for iPhone,
John Brubaker,1575603403585388544,"Seattle, WA USA",2023-01-06 14:13:00,@closrod08 @TheRickWilson BLM never stormed the Capitol looking to execute politicians. The only time we rioted was… https://t.co/TAGG1rMqJk,1,Twitter for Android,
America Mike,1609272802804400128,"Seattle, WA",2023-01-06 07:04:03,@DailyLoud BLM DONATE TO A GOOD CAUSE…….  *spends money on sex workers and mansions for the founders* MARXISM BABY THE BEST,0,Twitter for iPhone,
SethLovesToTalk,1246902401916735488,"Seattle, WA",2023-01-06 02:05:10,@Stuuude @TheYard As much as I love BLM and Matt Mercer I actually think this is the best option.,0,Twitter for iPhone,
Long Dong Silver,1361155835477389317,"Seattle, WA",2023-01-05 19:35:24,@jaketropolis This infuriates me and has steeled my resolve to build an illegal cabin on BLM land where the only pe… https://t.co/ljYeAFLPox,0,Twitter for iPhone,
fiona stafford,1461544800050577409,"Bellevue, WA",2023-01-05 13:56:32,"Terrorist Soros owns many orgs that finance (not ""donate"") BILLIONS ANNUALLY to virtually every leftist/progressive… https://t.co/Vd2xF8CnW6",0,Twitter for iPhone,
shelley for the animals,1579844974732259328,seattle,2023-01-05 13:19:58,@JamesBradleyCA Oppressed? Black on black where’s BLM to help these poor oppressed people?,0,Twitter for iPad,
Kareem,1588953591783587841,Sea to Shining Sea,2023-01-05 06:23:01,@xHirab @Rkers93200 I love how these clowns use a strawman! You never said you were arab yet thats the point shes t… https://t.co/xKDFZL4Ia4,1,Twitter for Android,
Brenda Banks @ FC (DJING SUNDAY @ 10PM!),1057159302,"Seattle, WA",2023-01-05 04:09:00,"@AlexMason1963 @thatbadgerad Okay? Obviously the people doing that, when it does happen, are not supporters of BLM.… https://t.co/4yO34Whvan",0,Twitter Web App,
RealB87,1588317039227437056,"Seattle, WA",2023-01-04 18:17:27,@KIRO7Seattle It is. Have to agree with the court on this. Just like other teachers have the right to wear BLM hats or shirts.,0,Twitter for Android,
Brenda Banks @ FC (DJING SUNDAY @ 10PM!),1057159302,"Seattle, WA",2023-01-04 17:22:36,"@BigChompDrox He said ""Well I ACTUALLY care about people by saying things like this!"" No you don't, you're literall… https://t.co/UiE9tnpwWW",0,Twitter Web App,
Matt Birnbaum,505454704,"Seattle, WA",2023-01-04 16:30:21,@NBCNews Looking forward to the teachers across the hall in the BLM and ANTIFA shirts,1,Twitter for iPhone,
mastodon.social/@stephenmatlock,818805,Seattle WA,2023-01-04 15:51:28,"Weirdly enough, they have more in common with the Jan6 defendants than with ""antifa"" or ""BLM"" or the other boogeyme… https://t.co/wmySzqm3tU",0,Twitter Web App,
SeattleAggie,220262586,"Seattle, WA",2023-01-04 15:15:11,"@hypnoetized @Dao1Donna @ThisIsKyleR haha, he doesn’t need to be “sanctioned by the government” to be in a city. We… https://t.co/UylzY6kMdl",0,Twitter for iPhone,
Schnider,1528974033592627200,"Seattle, Washington",2023-01-04 07:36:46,@TwinkieTheTwink day 2 no block they must really support blm,0,Twitter for iPad,
Pieter Henning,1493244990,S.E.A.,2023-01-04 07:16:42,@ClownWorld_ Can see you getting knocked out at a BLM rally for sure - good luck,0,Twitter Web App,
